experiment algorithm attack_edges_type social_network_type AUC AUC_std AUC_0 AUC_1 AUC_2 AUC_3 AUC_4 accuracy accuracy_std accuracy_0 accuracy_1 accuracy_2 accuracy_3 accuracy_4 F1 F1_std F1_0 F1_1 F1_2 F1_3 F1_4
synthetic-S-random SybilGAT_L8 random PowerLaw-Small 0.55112422696451 0.01088939174980014 0.56234380462224 0.5365256424539513 0.5611508515853534 0.5559019012345678 0.5396989349264375 0.5132169814282523 0.00927463006008896 0.5184838558727187 0.5005842486562281 0.5252135252135253 0.5175397567820393 0.5042635206167504 0.5203493699567021 0.0674317515165308 0.5422597864768683 0.59906191369606 0.4051597771914395 0.4909943251912164 0.5642710472279261
synthetic-S-random SybilRank random PowerLaw-Small 0.5677610651510872 0.015125095539611867 0.5643493474701751 0.5396170224617893 0.5761853483822911 0.5784283456790124 0.5802252617621677 0.5372290274559074 0.012513558345470936 0.5333411324286382 0.5148399158681936 0.5508365508365508 0.5443171188026192 0.5428104193435347 0.5413667749780785 0.012863769105482535 0.5382567426785507 0.5179939633155328 0.5550017387272517 0.5490105311885198 0.5465708989805376
synthetic-S-random SybilBelief random PowerLaw-Small 0.5459997554881838 0.05112871243898624 0.5256617829667032 0.5211328910190769 0.6480527452943694 0.5195835555555555 0.5155678026052142 0.5209429362985959 0.041399201412214315 0.5011698642957417 0.4987146529562982 0.6037206037206038 0.49988306828811974 0.5012264922322158 0.3867699087567163 0.31666753261044955 0.0 0.6655231560891939 0.6017636684303351 0.6665627192640524 0.0
synthetic-S-random SybilSCAR random PowerLaw-Small 0.5573574559165158 0.007925018701518202 0.5699024176885205 0.5557914584676553 0.5620790246082024 0.5515874074074074 0.5474269714107934 0.5049846846933199 0.006902533854983826 0.5094759007955078 0.503972890862351 0.5132795132795133 0.505378858746492 0.4928162597827357 0.47321930310058147 0.12248286873653301 0.36421531463229717 0.5659065344104715 0.5780933062880325 0.5696846388606307 0.2881967213114754
synthetic-L-random SybilGAT_L2 random PowerLaw-Large 0.623745594924886 0.0040184305251748775 0.6189416878489722 0.6196147272709462 0.6258067982248541 0.6297048573508448 0.624659903928813 0.5304581601793783 0.014071227464719617 0.5272429523920926 0.5538922155688623 0.5144802096004492 0.5192213201057582 0.5374541032297294 0.2637177467286766 0.16842583239517478 0.2628046111192179 0.5574120486401188 0.07611840640997107 0.12494676773699004 0.2973068997370852
synthetic-L-random SybilGAT_L4 random PowerLaw-Large 0.5960360323712851 0.003107522180940188 0.5948689864132832 0.5934899856787849 0.6020775780468346 0.5956553872527526 0.5940882244647699 0.5361063386149881 0.004257737958303169 0.5359457246461574 0.5343609655688623 0.5440488443903808 0.5313179999532043 0.5348581585163358 0.4658876939876843 0.07422869854266387 0.4692282992614792 0.3704500173935043 0.5798719634427607 0.40396345999345373 0.5059247298472239
synthetic-L-random SybilGAT_L8 random PowerLaw-Large 0.5530659338053059 0.0020913803342629466 0.5539928243947074 0.5493725932316171 0.5552166464252619 0.5545039212268476 0.5522436837480957 0.5143328224307562 0.0022084300856273177 0.5144227395016961 0.5108532934131736 0.5172639655656405 0.5158988277685487 0.5132252859047218 0.5310574941237831 0.013471544710831606 0.5541521673755209 0.5258479956466534 0.5124509757595804 0.5309453638630696 0.5318909679740914
synthetic-L-random SybilRank random PowerLaw-Large 0.5592440446690699 0.00466118660690665 0.5540620402005946 0.5556975241615926 0.5653777961723427 0.5642972930049374 0.5567855698058823 0.5345486327184 0.003643482147109335 0.5298163527898 0.5312266092814372 0.5392299054926546 0.5378693932941809 0.5346009027339274 0.5385869240346214 0.0033991929974014914 0.5339702267773501 0.5356042173560421 0.5424728810016027 0.5421119740350063 0.5387753210031058
synthetic-L-random SybilBelief random PowerLaw-Large 0.5177596937344624 0.004484694128211171 0.5099431362934883 0.5219603623263027 0.5222582006133791 0.5180904432790817 0.5165463261600602 0.5005684597504858 0.00047923517089460945 0.5001286700198854 0.5003274700598802 0.5014503602507719 0.5006902360841387 0.5002455623377534 0.5335807108132723 0.26679040751427985 0.6667810302075698 0.6669576876305697 0.0 0.6672799276559918 0.6668849085722303
synthetic-L-random SybilSCAR random PowerLaw-Large 0.5565168660873588 0.0018302877655018471 0.5563012462370986 0.5532313633906611 0.5577413905341337 0.5586085373253358 0.5567017929495648 0.5067955148940702 0.0009513108129464929 0.5060708854836823 0.5084206586826348 0.5073453728829419 0.506118533423805 0.5060221239972871 0.523379229612498 0.07520409142180887 0.5843652184184105 0.45835051546391753 0.4083937299848306 0.5864095932283094 0.5793770909670225
