,honest_size,sybil_size,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
103,1000,6000,SybilGCN-L2,42,0.40992816666666665,0.2063157894736842,0.7914364640883977,0.10052631578947369,0.17839352428393523,18880,
104,1000,6000,SybilGCN-L4,42,0.03865366666666667,0.14451127819548873,1.0,0.0019298245614035089,0.0038522150236385924,1027937,
105,1000,6000,SybilGCN-L8,42,0.03515441666666667,0.14285714285714285,inf,0.0,0.0,59482,
106,1000,6000,SybilRGCN-L2,42,0.6566354166666666,0.39714285714285713,0.9528655597214784,0.3121052631578947,0.4701995506805868,19748,
107,1000,6000,SybilGAT-L2,42,0.31609624999999997,0.17669172932330826,0.7281947261663286,0.06298245614035088,0.115937348619409,1025009,
108,1000,6000,SybilGAT-L4,42,0.3538255833333333,0.583609022556391,0.8179648513777392,0.6614035087719298,0.7313997477931904,1138487,
109,1000,6000,SybilGAT-L8,42,0.5,0.14285714285714285,inf,0.0,0.0,413471,
110,1000,6000,SybilRank,43,0.44514549999999997,0.4652631578947368,0.82,0.4819298245614035,0.6070718232044199,398,
111,1000,6000,SybilBelief,43,0.037863,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,206,
112,1000,6000,SybilSCAR,43,0.5246915,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,145,
113,1000,6000,SybilGCN-L2,43,0.41187208333333325,0.17894736842105263,0.8157894736842105,0.054385964912280704,0.10197368421052631,19610,
114,1000,6000,SybilGCN-L4,43,0.04140741666666667,0.13488721804511278,0.42042042042042044,0.02456140350877193,0.046411403944969336,34452,
115,1000,6000,SybilGCN-L8,43,0.0348235,0.14285714285714285,inf,0.0,0.0,560939,
116,1000,6000,SybilRGCN-L2,43,0.75784425,0.22180451127819548,0.996219281663516,0.0924561403508772,0.16920854069674104,20363,
117,1000,6000,SybilGAT-L2,43,0.6245737499999999,0.7410526315789474,0.8565794191466476,0.8382456140350877,0.8473133534314595,8490,
118,1000,6000,SybilGAT-L4,43,0.2954108333333333,0.14736842105263157,0.8947368421052632,0.0059649122807017545,0.011850819100731963,217988,
119,1000,6000,SybilGAT-L8,43,0.5,0.14285714285714285,inf,0.0,0.0,2150257,
120,1000,6000,SybilRank,44,0.413606,0.4557894736842105,0.8119940029985008,0.4750877192982456,0.5994465965688988,389,
121,1000,6000,SybilBelief,44,0.036757666666666675,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,213,
122,1000,6000,SybilSCAR,44,0.540292,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,141,
123,1000,6000,SybilGCN-L2,44,0.4048965,0.22736842105263158,0.7640977443609023,0.14263157894736841,0.24039030159668834,19226,
124,1000,6000,SybilGCN-L4,44,0.038103333333333336,0.14586466165413534,0.9166666666666666,0.0038596491228070177,0.007686932215234102,435587,
125,1000,6000,SybilGCN-L8,44,0.033502500000000004,0.14661654135338345,0.9310344827586207,0.004736842105263158,0.009425728748472683,58975,
126,1000,6000,SybilRGCN-L2,44,0.69841575,0.2920300751879699,0.9872298624754421,0.1763157894736842,0.2991961893420661,19862,
127,1000,6000,SybilGAT-L2,44,0.4968369166666667,0.4037593984962406,0.8443826915442636,0.37315789473684213,0.5175812142596423,9666,
128,1000,6000,SybilGAT-L4,44,0.3501006666666667,0.24285714285714285,0.7914110429447853,0.15842105263157893,0.26399649174097356,1090730,
129,1000,6000,SybilGAT-L8,44,0.34588108333333334,0.2858646616541353,0.786273329319687,0.22912280701754387,0.35484309197119956,2295085,
130,1000,6000,SybilRank,45,0.3931815,0.44225563909774435,0.7988592014410087,0.4668421052631579,0.5893035101317684,400,
131,1000,6000,SybilBelief,45,0.039546,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,179,
132,1000,6000,SybilSCAR,45,0.5309743333333333,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,143,
133,1000,6000,SybilGCN-L2,45,0.38914725,0.2081203007518797,0.7595693779904307,0.11140350877192982,0.19430844553243573,20617,
134,1000,6000,SybilGCN-L4,45,0.038760583333333334,0.14,0.4671280276816609,0.02368421052631579,0.04508265152780097,36966,
135,1000,6000,SybilGCN-L8,45,0.03642625,0.14285714285714285,inf,0.0,0.0,64093,
136,1000,6000,SybilRGCN-L2,45,0.6809858333333334,0.21263157894736842,0.9978540772532188,0.08157894736842106,0.1508271164450211,18577,
137,1000,6000,SybilGAT-L2,45,0.7141841666666666,0.7287218045112782,0.8818110544884359,0.789298245614035,0.8329938900203666,65010,
138,1000,6000,SybilGAT-L4,45,0.5707393333333334,0.33729323308270676,0.9736263736263736,0.2331578947368421,0.37622080679405523,34936,
139,1000,6000,SybilGAT-L8,45,0.5,0.14285714285714285,inf,0.0,0.0,167644,
140,1000,6000,SybilRank,46,0.44204350000000003,0.47037593984962406,0.8258527827648114,0.4842105263157895,0.6104844061048441,414,
141,1000,6000,SybilBelief,46,0.03820983333333333,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,218,
142,1000,6000,SybilSCAR,46,0.5168904999999999,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,172,
