,attack,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
83,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L2,0.9975604,0.001018247435547951,0.5264210526315789,0.01814499923477313,1.0,0.0,0.05284210526315789,0.03628999846954623,0.09819098656698046,0.06352465069914892,10795.8,336.35302882536973,,
84,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L4,1.0,0.0,0.8955789473684211,0.04941721301154342,1.0,0.0,0.7911578947368421,0.0988344260230868,0.880093512215366,0.06005565601903071,18938.8,335.494500700086,,
85,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGCN-L8,0.9999984,2.7276363393876884e-06,0.9830526315789474,0.0148693292689545,1.0,0.0,0.9661052631578947,0.029738658537909017,0.9825226109952997,0.01572557649393796,34506.0,525.9064555603021,,
86,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilRGCN-L2,0.9902582000000001,0.01443543838475299,0.5368421052631579,0.03783474783904765,0.9874183006535947,0.02167482274351691,0.07410526315789473,0.07570053260789592,0.1289406029409257,0.1275908399754288,11329.0,181.71736295687322,,
87,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L2,0.995725,0.0026410149564135067,0.6681052631578948,0.14808307917500277,0.9963048498845266,0.007390300230946867,0.33957894736842104,0.302339245534849,0.43967472705587907,0.2907852787513318,2337.2,914.0193433401724,,
88,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L4,1.0,0.0,0.9087368421052631,0.08547964718634776,1.0,0.0,0.8174736842105264,0.17095929437269555,0.8882628727486835,0.1203162110765624,3713.8,1558.1497232294462,,
89,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",2,SybilGAT-L8,0.9999998,4.000000000115022e-07,0.9520000000000002,0.03609835747984088,1.0,0.0,0.9039999999999999,0.07219671495968172,0.9480270524914651,0.04096623673189593,3668.6,323.4789637673523,,
90,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilRank,0.9999102000000001,3.607991130807457e-05,0.9972631578947369,0.0003938586722920117,1.0,0.0,0.9945263157894738,0.0007877173445839759,0.9972554906498561,0.00039596980536438193,111.2,0.7483314773547882,,
91,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilBelief,0.9998692,0.00014363063740027693,0.9990526315789474,0.000905507922846592,0.9991605456453305,0.001678908709338911,0.9989473684210527,0.0006657426652986012,0.9990531285919655,0.0009039394820735169,200.6,81.24678455175933,,
92,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilSCAR,0.9749012,0.010835433713516062,0.663578947368421,0.13214337885863703,0.9943908815031852,0.003910788362695514,0.3296842105263158,0.2668992153149463,0.4349540357872283,0.29936977285597954,48.2,1.4696938456699067,,
93,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGCN-L2,0.9704186,0.007038626985428352,0.5157894736842106,0.010205641805086992,1.0,0.0,0.031578947368421054,0.020411283610174014,0.06046595220404488,0.03833856296196981,11974.6,363.91515494686394,,
94,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGCN-L4,0.9995882,0.0002533230348783955,0.8369473684210526,0.10143753450869267,1.0,0.0,0.6738947368421051,0.20287506901738533,0.7871125946247127,0.1499061433175252,20656.8,442.06397727025893,,
95,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGCN-L8,0.9994088,0.0003120899870230086,0.9291578947368422,0.04948555288766956,0.9997849462365591,0.0004301075268817289,0.8585263157894737,0.09922380198766033,0.9206129525138518,0.05914859476420999,29833.4,14531.807493907976,,
96,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilRGCN-L2,0.9415229999999999,0.03009237065437016,0.5322105263157895,0.032309788573637074,inf,,0.06610526315789475,0.06514556468661509,0.11697397344982892,0.11130793242926137,11934.8,395.4012645402136,,
97,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGAT-L2,0.9727452,0.01397940487145287,0.5929473684210527,0.06880427094905538,0.9981042654028436,0.003791469194312791,0.1863157894736842,0.13770899503307468,0.29157552942805387,0.19424574311535683,2701.4,1111.0356609938315,,
98,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGAT-L4,0.9996588,0.00045525351179310245,0.8466315789473683,0.11337022917973627,1.0,0.0,0.6932631578947369,0.22674045835947257,0.7947797159987856,0.18060430594229704,3823.6,429.6140593602588,,
99,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",4,SybilGAT-L8,0.9999161999999998,2.858950856519606e-05,0.9602105263157894,0.030587235039611253,1.0,0.0,0.9204210526315789,0.06117447007922245,0.957469131173642,0.034310160680115095,6263.8,1877.3048127568413,,
100,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilRank,0.9757766,0.04374341225190371,0.9490526315789474,0.0706396575503914,0.9560384741699046,0.07296090855471206,0.9416842105263157,0.06884113953933935,0.9488033162209499,0.0708716389259916,119.2,1.9390719429665315,,
101,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilBelief,0.7986966000000001,0.2406675785689464,0.7936842105263158,0.23979492623531354,inf,,0.5951578947368421,0.4859646032046645,0.593703596604507,0.48475824291190006,190.0,62.625873247404705,,
102,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilSCAR,0.8581597999999999,0.032481796270526705,0.5203157894736842,0.023070649051238862,0.9927741935483871,0.00893402806354259,0.04126315789473684,0.046968605062273724,0.07541020988841281,0.08281947631051592,97.6,59.193242857610024,,
103,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGCN-L2,0.8983114000000001,0.016405094557484283,0.5052631578947369,0.002882750302658754,1.0,0.0,0.010526315789473684,0.005765500605317538,0.020768808392782948,0.011309605193500999,20876.4,18385.36515383907,,
104,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGCN-L4,0.9784076,0.009579932392245761,0.7692631578947369,0.07052364488265356,0.994889230094319,0.006737258780034033,0.5421052631578946,0.144693007716318,0.6893156941110367,0.12707057255664167,71558.6,107454.04342434024,,
105,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGCN-L8,0.8409787999999999,0.0573036203137289,0.7171578947368421,0.050623371695026884,0.7267709859599643,0.10173012072489133,0.7496842105263158,0.1334301772027814,0.7228141544934069,0.05181530138413057,3858.2,2740.5941253677092,,
106,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilRGCN-L2,0.8833522,0.037912337756461294,0.5268421052631579,0.025596485215780368,0.9455038955472901,0.05093704202111634,0.05894736842105264,0.05910880150631093,0.10463242745945747,0.09782434189338152,169428.4,315617.3749371856,,
107,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGAT-L2,0.8866843,0.019293927375213255,0.6383157894736842,0.0839934043050941,0.9415027196700503,0.06345797809901298,0.3126315789473685,0.2121599772711118,0.42064417455310166,0.23531841262866673,5008.0,6152.422807317455,,
108,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGAT-L4,0.9941374,0.0019523673424845162,0.7921052631578946,0.10936887695563759,0.9967976289209919,0.0046618883581919105,0.5869473684210526,0.22193867536612158,0.7124665918675154,0.1847150837208775,2767.6,511.63174256490385,,
109,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",6,SybilGAT-L8,0.9980954000000001,0.0002250389744021972,0.8754736842105263,0.07334780349136782,0.9997835497835498,0.00043290043290045155,0.7511578947368421,0.14701099512274793,0.8499500877234443,0.0933682651652211,5053.6,2153.6006686477417,,
110,"TargetedAttack(p_t=0.1, pdf=[0.25, 0.25, 0.5])",8,SybilRank,0.01971580000000001,0.00991650995864977,0.048315789473684215,0.017681077416689246,0.06279212429735893,0.01647291497766758,0.0648421052631579,0.01687628111480512,0.06380052237953915,0.01667222516258157,124.6,1.019803902718557,,
