,variant,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
163,PL-BA,SybilGCN_L2_noDropout,43,0.7436220649999999,0.5428947368421052,0.8273092369477911,0.10842105263157895,0.19171707771056307,494,10006.0
164,PL-BA,SybilGCN_L4_noDropout,43,0.7915077199999999,0.6362631578947369,0.822898478423547,0.34726315789473683,0.48841513065363834,539,17326.0
165,PL-BA,SybilGCN_L8_noDropout,43,0.846766925,0.753,0.7404221266379915,0.7791578947368422,0.7592963019951787,635,31960.0
166,PL-BA,SybilRGCN_L2_noDropout,43,0.727218295,0.5138421052631579,0.8746438746438746,0.03231578947368421,0.062328697594152875,2953,12347.0
167,PL-BA,SybilGAT_L2,43,0.7505534249999999,0.5028947368421053,0.9508196721311475,0.006105263157894737,0.012132622110657881,601,2512.0
168,PL-BA,SybilGAT_L4,43,0.8181791600000001,0.6977894736842105,0.805230669265757,0.5217894736842106,0.6332396525293817,772,3123.0
169,PL-BA,SybilGAT_L8,43,0.86718694,0.7705263157894737,0.8051531702683448,0.7137894736842105,0.756723579957594,1112,6453.0
170,PL-BA,SybilRank,44,0.7949936499999999,0.7161578947368421,0.7159078961202818,0.7167368421052631,0.7163221292935669,1434,
171,PL-BA,SybilBelief,44,0.5138115349999999,0.5,inf,0.0,0.0,1058,
172,PL-BA,SybilSCAR,44,0.66436375,0.5385263157894736,0.5847222222222223,0.26589473684210524,0.36555716353111434,704,
173,PL-BA,SybilGCN_L2_noDropout,44,0.7352111,0.5326315789473685,0.8326180257510729,0.08168421052631579,0.14877300613496933,492,9723.0
174,PL-BA,SybilGCN_L4_noDropout,44,0.777456625,0.6843157894736842,0.709349593495935,0.6245263157894737,0.6642409314823108,541,16890.0
175,PL-BA,SybilGCN_L8_noDropout,44,0.337888185,0.5,inf,0.0,0.0,608,461.0
176,PL-BA,SybilRGCN_L2_noDropout,44,0.629213015,0.5031578947368421,0.5183374083129584,0.08926315789473684,0.15229885057471265,2971,10997.0
177,PL-BA,SybilGAT_L2,44,0.747960825,0.506578947368421,0.8415300546448088,0.016210526315789474,0.03180832386657028,625,3013.0
178,PL-BA,SybilGAT_L4,44,0.8029446749999999,0.7067894736842105,0.7605092162843125,0.6036842105263158,0.6730825655771375,772,1354.0
179,PL-BA,SybilGAT_L8,44,0.31587389000000005,0.4996315789473684,0.4998157021747143,0.9991578947368421,0.6663156786353586,1194,1768.0
180,PL-BA,SybilRank,45,0.7988975500000001,0.7145789473684211,0.7150997150997151,0.7133684210526315,0.7142330189176371,1428,
181,PL-BA,SybilBelief,45,0.5127476499999999,0.5,inf,0.0,0.0,1164,
182,PL-BA,SybilSCAR,45,0.69536278,0.6284736842105263,0.6670773442847365,0.5129473684210526,0.5799464445105623,839,
183,PL-BA,SybilGCN_L2_noDropout,45,0.7417740700000001,0.5218947368421053,0.8924528301886793,0.04978947368421053,0.09431704885343968,507,9156.0
184,PL-BA,SybilGCN_L4_noDropout,45,0.784803935,0.6599473684210526,0.7888234176012165,0.4368421052631579,0.5622925276065307,552,15420.0
185,PL-BA,SybilGCN_L8_noDropout,45,0.82929827,0.7290526315789474,0.7037071709417712,0.7912631578947369,0.7449212169259737,604,29126.0
186,PL-BA,SybilRGCN_L2_noDropout,45,0.55567809,0.5378947368421053,0.543124101581217,0.47726315789473683,0.5080681308830121,3009,10247.0
187,PL-BA,SybilGAT_L2,45,0.757707825,0.5052105263157894,0.9304347826086956,0.011263157894736841,0.022256890275611025,623,2020.0
188,PL-BA,SybilGAT_L4,45,0.8159413900000001,0.7101052631578947,0.7824794791961506,0.582,0.6675117710974284,807,3288.0
189,PL-BA,SybilGAT_L8,45,0.8648734200000001,0.7687894736842106,0.7824355712863621,0.7446315789473684,0.7630656383150854,1151,4565.0
190,PL-BA,SybilRank,46,0.8164902599999999,0.7303684210526316,0.7305382913725903,0.73,0.7302690464908124,1409,
191,PL-BA,SybilBelief,46,0.51072226,0.5,0.5,1.0,0.6666666666666666,1591,
192,PL-BA,SybilSCAR,46,0.6875546299999999,0.6408947368421053,0.6350247150206799,0.6626315789473685,0.6485344871992994,683,
193,PL-BA,SybilGCN_L2_noDropout,46,0.7402846049999998,0.5045263157894737,0.9056603773584906,0.010105263157894737,0.019987507807620236,493,9681.0
194,PL-BA,SybilGCN_L4_noDropout,46,0.7807982800000001,0.6805789473684211,0.7329892706777129,0.5681052631578948,0.6400996264009963,528,17304.0
195,PL-BA,SybilGCN_L8_noDropout,46,0.8431920249999999,0.7468421052631579,0.7719786592437949,0.7006315789473684,0.7345767575322812,568,33080.0
196,PL-BA,SybilRGCN_L2_noDropout,46,0.62575632,0.49494736842105264,0.48921348314606744,0.22915789473684212,0.3121146953405018,2921,9907.0
197,PL-BA,SybilGAT_L2,46,0.75590654,0.5248421052631579,0.8440233236151603,0.06094736842105263,0.11368545061849597,588,2578.0
198,PL-BA,SybilGAT_L4,46,0.8151788,0.6782631578947368,0.824860924611548,0.45263157894736844,0.5845170937266363,775,1351.0
199,PL-BA,SybilGAT_L8,46,0.8642300450000001,0.7460526315789474,0.841091492776886,0.6067368421052631,0.7049471045068183,1174,2066.0
200,PL-PL,SybilRank,42,0.64629229,0.5982631578947368,0.5973105389346398,0.6031578947368421,0.6002199759074006,1438,
201,PL-PL,SybilBelief,42,0.51087532,0.5,inf,0.0,0.0,1122,
202,PL-PL,SybilSCAR,42,0.68643817,0.5902631578947368,0.6448724446697077,0.40178947368421053,0.49510344380310006,696,
203,PL-PL,SybilGCN_L2_noDropout,42,0.727686865,0.5106315789473684,0.9353448275862069,0.022842105263157896,0.04459515002055076,513,8071.0
204,PL-PL,SybilGCN_L4_noDropout,42,0.7306414300000001,0.6302631578947369,0.6935105551211884,0.4668421052631579,0.5580371185907518,550,14181.0
205,PL-PL,SybilGCN_L8_noDropout,42,0.73323194,0.6504210526315789,0.6899760701940973,0.5463157894736842,0.6097990835389496,613,26088.0
206,PL-PL,SybilRGCN_L2_noDropout,42,0.523550635,0.4391578947368421,0.37069351230425057,0.17442105263157895,0.23722261989978524,2944,10200.0
207,PL-PL,SybilGAT_L2,42,0.751830905,0.6430526315789473,0.7198317696538337,0.46842105263157896,0.5675296518301237,656,2463.0
208,PL-PL,SybilGAT_L4,42,0.758253085,0.6562105263157895,0.6223816592445984,0.7944210526315789,0.6979561638768149,788,3850.0
209,PL-PL,SybilGAT_L8,42,0.7516197250000001,0.6681052631578948,0.6663195167673401,0.6734736842105263,0.6698774997382473,1239,5036.0
210,PL-PL,SybilRank,43,0.63289895,0.5917894736842105,0.5907577019150708,0.5974736842105263,0.5940967134184635,2110,
211,PL-PL,SybilBelief,43,0.5135868299999999,0.5,inf,0.0,0.0,1248,
212,PL-PL,SybilSCAR,43,0.65255931,0.5425263157894736,0.5887521968365553,0.28210526315789475,0.3814403643609451,1142,
213,PL-PL,SybilGCN_L2_noDropout,43,0.722462325,0.5189473684210526,0.9054054054054054,0.04231578947368421,0.08085277554304103,1053,10028.0
214,PL-PL,SybilGCN_L4_noDropout,43,0.73006087,0.6291052631578947,0.6945898778359512,0.4608421052631579,0.5540720116433588,871,16592.0
215,PL-PL,SybilGCN_L8_noDropout,43,0.68436213,0.6102631578947368,0.5981264637002341,0.6721052631578948,0.6329615861214374,654,32802.0
216,PL-PL,SybilRGCN_L2_noDropout,43,0.601400335,0.507578947368421,0.5255138199858257,0.15610526315789475,0.24070767732510956,2993,11250.0
217,PL-PL,SybilGAT_L2,43,0.7359658099999999,0.5522105263157895,0.8183568677792041,0.13421052631578947,0.23060227889310905,617,2299.0
218,PL-PL,SybilGAT_L4,43,0.7498417199999999,0.6613684210526316,0.6632935662547933,0.6554736842105263,0.6593604404913173,804,3608.0
219,PL-PL,SybilGAT_L8,43,0.735986055,0.6462631578947369,0.6929057337220602,0.5253684210526316,0.5976171945159552,1183,1695.0
220,PL-PL,SybilRank,44,0.63528368,0.592,0.590871283011021,0.5982105263157895,0.5945182550475991,1466,
221,PL-PL,SybilBelief,44,0.514053515,0.5,inf,0.0,0.0,1395,
222,PL-PL,SybilSCAR,44,0.6469194300000001,0.5984736842105263,0.6088676829977889,0.5507368421052632,0.5783452163820262,829,
223,PL-PL,SybilGCN_L2_noDropout,44,0.723005745,0.6045789473684211,0.7350366690324107,0.3270526315789474,0.4526844904203395,518,16001.0
224,PL-PL,SybilGCN_L4_noDropout,44,0.72923216,0.6330526315789474,0.6932721712538227,0.47726315789473683,0.5653366583541147,561,20263.0
225,PL-PL,SybilGCN_L8_noDropout,44,0.36397252499999994,0.5,inf,0.0,0.0,604,409.0
226,PL-PL,SybilRGCN_L2_noDropout,44,0.6116023749999999,0.5243684210526316,0.5791994526171741,0.17821052631578949,0.2725589632133945,2968,10415.0
227,PL-PL,SybilGAT_L2,44,0.72692456,0.6321578947368421,0.680206688675183,0.4988421052631579,0.5755753932106638,794,2823.0
228,PL-PL,SybilGAT_L4,44,0.7492595999999999,0.6635263157894736,0.6485039671159545,0.7141052631578947,0.6797254646560793,889,3771.0
229,PL-PL,SybilGAT_L8,44,0.737977835,0.6574736842105263,0.6958627913066248,0.5594736842105263,0.6202590734041312,1303,1958.0
230,PL-PL,SybilRank,45,0.6278192699999999,0.5878421052631579,0.5866113129216398,0.5949473684210527,0.59074993467468,1426,
231,PL-PL,SybilBelief,45,0.51557882,0.5,0.5,1.0,0.6666666666666666,1154,
232,PL-PL,SybilSCAR,45,0.6617675999999999,0.562,0.5432960893854749,0.778,0.6398026315789473,676,
233,PL-PL,SybilGCN_L2_noDropout,45,0.729280235,0.516421052631579,0.8804878048780488,0.038,0.07285570131180626,515,8769.0
