,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
253,PL,8000,0.05,0.0,4,SybilGCN_L2_noDropout,0.8539853687500001,0.007708163831806435,0.5401052631578948,0.021302204898038236,0.9841676499259198,0.008935326071337969,0.08173684210526315,0.04387737887261843,0.14796337623817926,0.07065700752866426,23450.8,553.0621664876381,,
254,PL,8000,0.05,0.0,4,SybilGCN_L4_noDropout,0.91727608125,0.005662805826371559,0.7933684210526316,0.029972933311605294,0.8738725418221402,0.059135577851610645,0.7014736842105264,0.12611536731333012,0.7664958508664995,0.05908549074272123,40430.8,880.4227166537673,,
255,PL,8000,0.05,0.0,4,SybilGCN_L8_noDropout,0.91863658125,0.008165137942099616,0.8320526315789474,0.008875719314613353,0.8429678211990377,0.04457942371367486,0.8232105263157894,0.05233241290484525,0.8302311826384235,0.009993775843675647,72742.6,3249.802677086718,,
256,PL,8000,0.05,0.0,4,SybilRGCN_L2_noDropout,0.8427937062499999,0.02569839389250111,0.5314210526315788,0.013020971790584255,0.9231360188566855,0.05361601128307363,0.07073684210526315,0.03227539048601784,0.1291603554961683,0.05572988850894443,23489.0,386.7759041098605,,
257,PL,8000,0.05,0.0,4,SybilGAT_L2,0.8905148375000002,0.02487248447182803,0.5610263157894737,0.022936501531250895,0.9773828711962869,0.02516001252429475,0.12563157894736843,0.04829090059558229,0.219245089073186,0.07255862834771784,15478.4,10152.444525334773,,
258,PL,8000,0.05,0.0,4,SybilGAT_L4,0.9177105375,0.026604275833423067,0.7994210526315789,0.0466197115705922,0.8976103645695058,0.06053520325466322,0.6888421052631578,0.13405559685105062,0.7666990316429303,0.08119704854390324,7320.0,1757.6641317384845,,
259,PL,8000,0.05,0.0,4,SybilGAT_L8,0.97916629375,0.0016972325923396675,0.9121842105263159,0.008570871238970604,0.908697934652303,0.039074474829598874,0.9207368421052632,0.04133552998064938,0.9129379869377775,0.007187479898853083,11845.2,3887.8169401349137,,
260,PL,8000,0.05,0.0,6,SybilRank,0.8407778375000001,0.01637514345822657,0.7585,0.01676536794486985,0.7564635162167518,0.016679419854870797,0.7624736842105262,0.016791535923505033,0.7594557410242043,0.01671367005991471,422.0,7.3484692283495345,,
261,PL,8000,0.05,0.0,6,SybilBelief,0.513912575,0.0006979443475978288,0.5,0.0,inf,,0.2,0.4000000000000001,0.13333333333333333,0.26666666666666666,576.4,96.8,,
262,PL,8000,0.05,0.0,6,SybilSCAR,0.7484633,0.020194042548345188,0.6322105263157896,0.04224757200976432,0.7255026947257848,0.05797272261105745,0.4506842105263158,0.1750577743967154,0.5288173723793519,0.1347272037342569,277.0,13.957077057894322,,
263,PL,8000,0.05,0.0,6,SybilGCN_L2_noDropout,0.7709553812500001,0.007030906628182367,0.5290789473684211,0.019223859828442404,0.9439651441329595,0.02640785063900701,0.06310526315789475,0.043497190026094854,0.11479659567755918,0.07424022029499748,25417.6,1826.9019240232901,,
