,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
86,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,45,0.8369679999999999,0.5052631578947369,0.7777777777777778,0.014736842105263158,0.028925619834710745,5971,
87,PL,1000,0.05,0.0,4,SybilGAT_L2,45,0.8643199999999999,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,1149,
88,PL,1000,0.05,0.0,4,SybilGAT_L4,45,0.9459200000000001,0.6294736842105263,0.984251968503937,0.2631578947368421,0.4152823920265781,1198,
89,PL,1000,0.05,0.0,4,SybilGAT_L8,45,0.974628,0.8663157894736843,0.9702702702702702,0.7557894736842106,0.8497041420118343,1113,
90,PL,1000,0.05,0.0,4,SybilRank,46,0.973268,0.9021052631578947,0.9012605042016807,0.9031578947368422,0.9022082018927445,37,
91,PL,1000,0.05,0.0,4,SybilBelief,46,0.9852719999999999,0.9473684210526315,0.9550321199143469,0.9389473684210526,0.9469214437367304,83,
92,PL,1000,0.05,0.0,4,SybilSCAR,46,0.851372,0.5684210526315789,0.9577464788732394,0.1431578947368421,0.2490842490842491,17,
93,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,46,0.85388,0.5094736842105263,1.0,0.018947368421052633,0.0371900826446281,5968,
94,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,46,0.920964,0.651578947368421,0.9931506849315068,0.30526315789473685,0.4669887278582931,10105,
95,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,46,0.9377759999999999,0.78,0.9784172661870504,0.5726315789473684,0.7224435590969456,3347,
96,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,46,0.862476,0.5347368421052632,0.9714285714285714,0.07157894736842105,0.13333333333333333,5733,
97,PL,1000,0.05,0.0,4,SybilGAT_L2,46,0.8551880000000001,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,1662,
98,PL,1000,0.05,0.0,4,SybilGAT_L4,46,0.925576,0.7115789473684211,0.9466666666666667,0.44842105263157894,0.6085714285714285,1717,
99,PL,1000,0.05,0.0,4,SybilGAT_L8,46,0.97922,0.8842105263157894,0.9620253164556962,0.8,0.8735632183908046,2790,
100,PL,1000,0.05,0.0,6,SybilRank,42,0.865044,0.7768421052631579,0.7700205338809035,0.7894736842105263,0.7796257796257796,40,
101,PL,1000,0.05,0.0,6,SybilBelief,42,0.519844,0.5,inf,0.0,0.0,41,
102,PL,1000,0.05,0.0,6,SybilSCAR,42,0.756532,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,88,
103,PL,1000,0.05,0.0,6,SybilGCN_L2_noDropout,42,0.774212,0.508421052631579,1.0,0.016842105263157894,0.033126293995859216,7796,
104,PL,1000,0.05,0.0,6,SybilGCN_L4_noDropout,42,0.8114279999999999,0.5347368421052632,0.9714285714285714,0.07157894736842105,0.13333333333333333,10730,
105,PL,1000,0.05,0.0,6,SybilGCN_L8_noDropout,42,0.6599579999999999,0.5642105263157895,0.5477308294209703,0.7368421052631579,0.6283662477558348,2078,
106,PL,1000,0.05,0.0,6,SybilRGCN_L2_noDropout,42,0.698948,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,7013,
107,PL,1000,0.05,0.0,6,SybilGAT_L2,42,0.7973520000000001,0.5505263157894736,0.75,0.15157894736842106,0.2521891418563923,2307,
108,PL,1000,0.05,0.0,6,SybilGAT_L4,42,0.8407119999999999,0.6431578947368422,0.925,0.31157894736842107,0.46614173228346456,1923,
109,PL,1000,0.05,0.0,6,SybilGAT_L8,42,0.8922839999999999,0.8,0.7833001988071571,0.8294736842105264,0.8057259713701431,573,
110,PL,1000,0.05,0.0,6,SybilRank,43,0.8475840000000001,0.7663157894736842,0.762993762993763,0.7726315789473684,0.7677824267782427,40,
111,PL,1000,0.05,0.0,6,SybilBelief,43,0.5203720000000001,0.5,0.5,1.0,0.6666666666666666,49,
112,PL,1000,0.05,0.0,6,SybilSCAR,43,0.771,0.5273684210526316,0.51431718061674,0.9831578947368421,0.6753434562545192,18,
113,PL,1000,0.05,0.0,6,SybilGCN_L2_noDropout,43,0.8260040000000001,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,6228,
114,PL,1000,0.05,0.0,6,SybilGCN_L4_noDropout,43,0.8494039999999998,0.6610526315789473,0.9371428571428572,0.3452631578947368,0.5046153846153846,10640,
115,PL,1000,0.05,0.0,6,SybilGCN_L8_noDropout,43,0.720384,0.6494736842105263,0.6334586466165414,0.7094736842105264,0.6693147964250248,5039,
116,PL,1000,0.05,0.0,6,SybilRGCN_L2_noDropout,43,0.81132,0.5,inf,0.0,0.0,6961,
117,PL,1000,0.05,0.0,6,SybilGAT_L2,43,0.8107360000000001,0.588421052631579,0.9038461538461539,0.19789473684210526,0.32469775474956825,2197,
118,PL,1000,0.05,0.0,6,SybilGAT_L4,43,0.8660519999999999,0.6042105263157894,0.9900990099009901,0.21052631578947367,0.3472222222222222,1492,
119,PL,1000,0.05,0.0,6,SybilGAT_L8,43,0.8867100000000001,0.72,0.9728506787330317,0.45263157894736844,0.617816091954023,3641,
120,PL,1000,0.05,0.0,6,SybilRank,44,0.84854,0.7610526315789473,0.7583333333333333,0.7663157894736842,0.762303664921466,39,
121,PL,1000,0.05,0.0,6,SybilBelief,44,0.506428,0.5,0.5,1.0,0.6666666666666666,35,
122,PL,1000,0.05,0.0,6,SybilSCAR,44,0.80172,0.5063157894736842,0.503177966101695,1.0,0.6694855532064834,19,
123,PL,1000,0.05,0.0,6,SybilGCN_L2_noDropout,44,0.8268079999999999,0.5073684210526316,1.0,0.014736842105263158,0.029045643153526972,6249,
124,PL,1000,0.05,0.0,6,SybilGCN_L4_noDropout,44,0.843034,0.6147368421052631,0.9291338582677166,0.24842105263157896,0.3920265780730897,10783,
125,PL,1000,0.05,0.0,6,SybilGCN_L8_noDropout,44,0.3074619999999999,0.5,inf,0.0,0.0,232,
126,PL,1000,0.05,0.0,6,SybilRGCN_L2_noDropout,44,0.8322559999999999,0.5,inf,0.0,0.0,6759,
127,PL,1000,0.05,0.0,6,SybilGAT_L2,44,0.821236,0.5094736842105263,1.0,0.018947368421052633,0.0371900826446281,1136,
128,PL,1000,0.05,0.0,6,SybilGAT_L4,44,0.8807599999999999,0.6589473684210526,0.9575757575757575,0.33263157894736844,0.49375,1563,
129,PL,1000,0.05,0.0,6,SybilGAT_L8,44,0.902628,0.8031578947368421,0.7696629213483146,0.8652631578947368,0.8146679881070367,2720,
130,PL,1000,0.05,0.0,6,SybilRank,45,0.89308,0.8147368421052632,0.8121085594989561,0.8189473684210526,0.8155136268343816,39,
131,PL,1000,0.05,0.0,6,SybilBelief,45,0.8209080000000001,0.5726315789473684,0.5391600454029511,1.0,0.700589970501475,88,
132,PL,1000,0.05,0.0,6,SybilSCAR,45,0.744008,0.7010526315789474,0.6969072164948453,0.7115789473684211,0.7041666666666667,18,
133,PL,1000,0.05,0.0,6,SybilGCN_L2_noDropout,45,0.797052,0.5010526315789474,1.0,0.002105263157894737,0.004201680672268907,6129,
134,PL,1000,0.05,0.0,6,SybilGCN_L4_noDropout,45,0.814072,0.6621052631578948,0.84375,0.39789473684210525,0.5407725321888412,10584,
135,PL,1000,0.05,0.0,6,SybilGCN_L8_noDropout,45,0.7687240000000001,0.7157894736842105,0.7303370786516854,0.6842105263157895,0.7065217391304348,19113,
136,PL,1000,0.05,0.0,6,SybilRGCN_L2_noDropout,45,0.7495639999999999,0.5,0.5,0.004210526315789474,0.008350730688935281,6512,
137,PL,1000,0.05,0.0,6,SybilGAT_L2,45,0.782032,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,1226,
138,PL,1000,0.05,0.0,6,SybilGAT_L4,45,0.843724,0.6557894736842105,0.8854166666666666,0.35789473684210527,0.5097451274362819,1238,
139,PL,1000,0.05,0.0,6,SybilGAT_L8,45,0.865076,0.7652631578947369,0.828125,0.6694736842105263,0.740395809080326,1116,
140,PL,1000,0.05,0.0,6,SybilRank,46,0.752104,0.66,0.6563786008230452,0.671578947368421,0.663891779396462,39,
141,PL,1000,0.05,0.0,6,SybilBelief,46,0.516508,0.5,inf,0.0,0.0,40,
142,PL,1000,0.05,0.0,6,SybilSCAR,46,0.7179559999999998,0.5210526315789473,0.8333333333333334,0.05263157894736842,0.09900990099009901,18,
143,PL,1000,0.05,0.0,6,SybilGCN_L2_noDropout,46,0.762244,0.5010526315789474,1.0,0.002105263157894737,0.004201680672268907,6103,
144,PL,1000,0.05,0.0,6,SybilGCN_L4_noDropout,46,0.776376,0.5515789473684211,0.9454545454545454,0.10947368421052632,0.19622641509433963,11315,
145,PL,1000,0.05,0.0,6,SybilGCN_L8_noDropout,46,0.341304,0.5,inf,0.0,0.0,331,
146,PL,1000,0.05,0.0,6,SybilRGCN_L2_noDropout,46,0.749836,0.5063157894736842,1.0,0.01263157894736842,0.02494802494802495,6601,
147,PL,1000,0.05,0.0,6,SybilGAT_L2,46,0.8018719999999999,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,3030,
148,PL,1000,0.05,0.0,6,SybilGAT_L4,46,0.8143020000000001,0.5905263157894737,0.9387755102040817,0.1936842105263158,0.32111692844677137,1095,
149,PL,1000,0.05,0.0,6,SybilGAT_L8,46,0.849394,0.751578947368421,0.7798594847775175,0.7010526315789474,0.738359201773836,1267,
150,PL,1000,0.05,0.0,8,SybilRank,42,0.6779760000000001,0.6157894736842106,0.6127049180327869,0.6294736842105263,0.6209761163032191,42,
151,PL,1000,0.05,0.0,8,SybilBelief,42,0.520034,0.5,inf,0.0,0.0,34,
152,PL,1000,0.05,0.0,8,SybilSCAR,42,0.671036,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,21,
153,PL,1000,0.05,0.0,8,SybilGCN_L2_noDropout,42,0.7102040000000001,0.5031578947368421,0.8,0.008421052631578947,0.016666666666666666,6504,
154,PL,1000,0.05,0.0,8,SybilGCN_L4_noDropout,42,0.707508,0.5168421052631579,0.8333333333333334,0.042105263157894736,0.08016032064128256,11460,
155,PL,1000,0.05,0.0,8,SybilGCN_L8_noDropout,42,0.555044,0.5094736842105263,0.5073891625615764,0.6505263157894737,0.5701107011070111,2115,
156,PL,1000,0.05,0.0,8,SybilRGCN_L2_noDropout,42,0.6516120000000001,0.5031578947368421,0.8,0.008421052631578947,0.016666666666666666,7043,
157,PL,1000,0.05,0.0,8,SybilGAT_L2,42,0.664528,0.5,inf,0.0,0.0,1887,
158,PL,1000,0.05,0.0,8,SybilGAT_L4,42,0.7511160000000001,0.5547368421052632,0.8611111111111112,0.13052631578947368,0.226691042047532,1069,
159,PL,1000,0.05,0.0,8,SybilGAT_L8,42,0.269462,0.5,inf,0.0,0.0,1170,
160,PL,1000,0.05,0.0,8,SybilRank,43,0.7690359999999998,0.6978947368421052,0.6958333333333333,0.7031578947368421,0.6994764397905759,43,
161,PL,1000,0.05,0.0,8,SybilBelief,43,0.5104839999999999,0.5,0.5,1.0,0.6666666666666666,38,
162,PL,1000,0.05,0.0,8,SybilSCAR,43,0.6903159999999999,0.511578947368421,0.5059847660500544,0.9789473684210527,0.667144906743185,20,
163,PL,1000,0.05,0.0,8,SybilGCN_L2_noDropout,43,0.782208,0.5010526315789474,1.0,0.002105263157894737,0.004201680672268907,6524,
164,PL,1000,0.05,0.0,8,SybilGCN_L4_noDropout,43,0.7715639999999999,0.5652631578947368,0.8875,0.14947368421052631,0.25585585585585585,11206,
165,PL,1000,0.05,0.0,8,SybilGCN_L8_noDropout,43,0.589746,0.5473684210526316,0.5469728601252609,0.5515789473684211,0.549266247379455,5125,
166,PL,1000,0.05,0.0,8,SybilRGCN_L2_noDropout,43,0.733184,0.5,inf,0.0,0.0,7097,
